ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"112418","Tommie C. Smith","M",24,191,84,"United States","USA","1968 Summer",1968,"Summer","Mexico City","Athletics","Athletics Men's 200 metres","Gold"
"112451","Forrest Custer Smithson","M",23,183,81,"United States","USA","1908 Summer",1908,"Summer","London","Athletics","Athletics Men's 110 metres Hurdles","Gold"
"112495","Edward Ralph ""Teddy"" Smouha","M",18,NA,NA,"Great Britain","GBR","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Men's 4 x 100 metres Relay","Bronze"
"112543","Peter George Snell","M",21,179,80,"New Zealand","NZL","1960 Summer",1960,"Summer","Roma","Athletics","Athletics Men's 800 metres","Gold"
"112543","Peter George Snell","M",25,179,80,"New Zealand","NZL","1964 Summer",1964,"Summer","Tokyo","Athletics","Athletics Men's 800 metres","Gold"
"112718","Vilhelm Bruno Sderstrm","M",24,184,78,"Sweden","SWE","1906 Summer",1906,"Summer","Athina","Athletics","Athletics Men's Pole Vault","Silver"
"112718","Vilhelm Bruno Sderstrm","M",26,184,78,"Sweden","SWE","1908 Summer",1908,"Summer","London","Athletics","Athletics Men's Pole Vault","Bronze"
"112811","Nataliya Dmitriyevna Sokolova (Kulichkova-)","F",26,164,55,"Soviet Union","URS","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 4 x 400 metres Relay","Bronze"
"112815","Yelena Aleksandrovna Sokolova (Kremnyova-)","F",26,170,61,"Russia","RUS","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Long Jump","Silver"
"112873","Elsa Katrine ""Trine"" Solberg-Hattestad","F",30,173,76,"Norway","NOR","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's Javelin Throw","Bronze"
"112873","Elsa Katrine ""Trine"" Solberg-Hattestad","F",34,173,76,"Norway","NOR","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's Javelin Throw","Gold"
"112880","Veniamin Vasilyevich Soldatenko","M",33,175,63,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Men's 50 kilometres Walk","Silver"
"112966","Jarrin Solomon","M",26,165,73,"Trinidad and Tobago","TTO","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's 4 x 400 metres Relay","Bronze"
"113035","Elemr Somfay (Stromfeld-)","M",25,178,72,"Hungary","HUN","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's Pentathlon","Silver"
"113053","Istvn Somodi","M",22,175,63,"Hungary","HUN","1908 Summer",1908,"Summer","London","Athletics","Athletics Men's High Jump","Silver"
"113067","Son Gi-Jeong","M",21,170,60,"Japan","JPN","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Men's Marathon","Gold"
"113339","Kelly Jade Sotherton","F",27,178,66,"Great Britain","GBR","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Heptathlon","Bronze"
"113354","Yuliya Vladimirovna Sotnikova","F",29,170,60,"Russia","RUS","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's 4 x 400 metres Relay","Bronze"
"113380","Javier Sotomayor Sanabria","M",24,193,80,"Cuba","CUB","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's High Jump","Gold"
"113380","Javier Sotomayor Sanabria","M",32,193,80,"Cuba","CUB","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's High Jump","Silver"
"113459","Cludio Roberto de Sousa","M",26,168,72,"Brazil","BRA","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 4 x 100 metres Relay","Silver"
"113472","Silas Edward ""Eddie"" Southern","M",18,185,81,"United States","USA","1956 Summer",1956,"Summer","Melbourne","Athletics","Athletics Men's 400 metres Hurdles","Silver"
"113482","James Tindal Soutter","M",27,NA,NA,"Great Britain","GBR","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's 4 x 400 metres Relay","Bronze"
"113674","Ivana panovi","F",26,176,65,"Serbia","SRB","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's Long Jump","Bronze"
